age,education,education_num,marital_status,race,sex,income_over_50k
90,HS-grad,9,Widowed,White,Female,FALSE
82,HS-grad,9,Widowed,White,Female,FALSE
66,Some-college,10,Widowed,Black,Female,FALSE
54,7th-8th,4,Divorced,White,Female,FALSE
41,Some-college,10,Separated,White,Female,FALSE
34,HS-grad,9,Divorced,White,Female,FALSE
38,10th,6,Separated,White,Male,FALSE
74,Doctorate,16,Never-married,White,Female,TRUE
68,HS-grad,9,Divorced,White,Female,FALSE
41,Some-college,10,Never-married,White,Male,TRUE
45,Doctorate,16,Divorced,Black,Female,TRUE
38,Prof-school,15,Never-married,White,Male,TRUE
52,Bachelors,13,Widowed,White,Female,TRUE
32,Masters,14,Separated,White,Male,TRUE
51,Doctorate,16,Never-married,White,Male,TRUE
46,Prof-school,15,Divorced,White,Male,TRUE
45,11th,7,Divorced,White,Male,TRUE
57,Masters,14,Divorced,White,Male,TRUE
22,Assoc-acdm,12,Never-married,Black,Male,TRUE
34,Bachelors,13,Separated,White,Male,TRUE
37,Bachelors,13,Never-married,White,Male,TRUE
29,11th,7,Separated,White,Female,FALSE
61,HS-grad,9,Divorced,White,Female,FALSE
51,Some-college,10,Married,White,Male,FALSE
61,HS-grad,9,Married,White,Male,FALSE
21,Assoc-voc,11,Married,White,Male,FALSE
33,1st-4th,2,Married,White,Male,FALSE
49,5th-6th,3,Married,White,Male,FALSE
37,10th,6,Never-married,White,Male,TRUE
38,10th,6,Never-married,White,Male,TRUE
23,Some-college,10,Separated,White,Male,TRUE
59,10th,6,Widowed,White,Female,TRUE
52,Prof-school,15,Divorced,White,Male,TRUE
51,Bachelors,13,Divorced,White,Male,TRUE
60,HS-grad,9,Never-married,Black,Male,TRUE
63,Doctorate,16,Divorced,White,Female,TRUE
53,HS-grad,9,Never-married,White,Male,TRUE
51,Prof-school,15,Never-married,White,Female,TRUE
37,Doctorate,16,Never-married,White,Female,TRUE
54,Masters,14,Divorced,White,Female,TRUE
44,Bachelors,13,Divorced,White,Male,TRUE
43,Masters,14,Divorced,White,Female,TRUE
51,Some-college,10,Divorced,White,Female,TRUE
43,Masters,14,Divorced,White,Female,TRUE
71,HS-grad,9,Married,White,Male,FALSE
48,Bachelors,13,Married,White,Female,TRUE
71,HS-grad,9,Married,White,Male,FALSE
73,HS-grad,9,Married,Other,Male,FALSE
68,Some-college,10,Married,White,Female,FALSE
67,Some-college,10,Married,White,Male,FALSE
40,Prof-school,15,Never-married,White,Male,TRUE
50,HS-grad,9,Widowed,White,Female,TRUE
51,Assoc-voc,11,Divorced,White,Male,TRUE
42,Some-college,10,Never-married,White,Female,TRUE
39,Masters,14,Never-married,White,Male,TRUE
32,Bachelors,13,Never-married,White,Male,TRUE
53,Some-college,10,Separated,White,Male,TRUE
40,Some-college,10,Never-married,White,Male,TRUE
38,Bachelors,13,Never-married,White,Female,TRUE
33,Assoc-voc,11,Separated,White,Male,TRUE
43,Assoc-acdm,12,Divorced,White,Male,TRUE
50,11th,7,Never-married,White,Male,TRUE
44,Some-college,10,Married,White,Female,TRUE
51,Bachelors,13,Married,Other,Male,TRUE
41,Prof-school,15,Married,White,Male,TRUE
60,Assoc-voc,11,Married,White,Male,TRUE
37,Masters,14,Married,White,Male,TRUE
55,Prof-school,15,Married,White,Male,TRUE
39,Bachelors,13,Married,White,Male,TRUE
42,Prof-school,15,Married,White,Male,TRUE
49,Bachelors,13,Married,White,Male,TRUE
47,HS-grad,9,Married,White,Male,TRUE
41,Prof-school,15,Married,White,Male,TRUE
55,Bachelors,13,Married,White,Male,TRUE
39,Masters,14,Married,White,Female,TRUE
42,Bachelors,13,Married,White,Male,TRUE
41,Assoc-voc,11,Married,White,Male,TRUE
46,Masters,14,Married,White,Male,TRUE
40,Masters,14,Married,White,Male,TRUE
32,Bachelors,13,Married,White,Male,TRUE
41,Some-college,10,Married,White,Male,TRUE
60,Prof-school,15,Married,White,Male,TRUE
31,Masters,14,Married,White,Male,TRUE
58,Some-college,10,Married,White,Male,TRUE
37,Bachelors,13,Married,White,Male,TRUE
44,Bachelors,13,Married,White,Male,TRUE
39,Prof-school,15,Married,White,Male,TRUE
43,Prof-school,15,Married,Other,Male,TRUE
55,Bachelors,13,Married,White,Male,TRUE
44,Masters,14,Married,White,Male,TRUE
39,Prof-school,15,Married,Other,Male,TRUE
46,Bachelors,13,Married,White,Male,TRUE
39,Some-college,10,Married,White,Male,TRUE
62,Bachelors,13,Married,White,Male,TRUE
31,HS-grad,9,Married,White,Female,TRUE
46,Bachelors,13,Married,Other,Male,TRUE
46,Prof-school,15,Married,White,Male,TRUE
39,Assoc-voc,11,Married,White,Male,TRUE
39,Prof-school,15,Married,White,Male,TRUE
59,Doctorate,16,Married,White,Male,TRUE
50,Prof-school,15,Married,White,Male,TRUE
46,Doctorate,16,Married,White,Male,TRUE
53,Bachelors,13,Married,White,Male,TRUE
50,Prof-school,15,Married,White,Male,TRUE
41,Prof-school,15,Married,White,Female,TRUE
36,Bachelors,13,Married,White,Male,TRUE
38,Prof-school,15,Married,White,Male,TRUE
54,Some-college,10,Married,White,Male,TRUE
50,Bachelors,13,Married,White,Female,TRUE
47,Bachelors,13,Married,White,Male,TRUE
47,Prof-school,15,Married,White,Male,TRUE
67,Bachelors,13,Widowed,White,Male,TRUE
67,Bachelors,13,Married,White,Male,TRUE
72,Doctorate,16,Married,White,Male,TRUE
72,Doctorate,16,Married,White,Male,TRUE
46,Masters,14,Married,White,Male,TRUE
78,Bachelors,13,Married,White,Male,TRUE
71,Bachelors,13,Married,White,Male,TRUE
83,Bachelors,13,Married,White,Male,TRUE
68,Masters,14,Married,White,Male,TRUE
26,Assoc-voc,11,Married,White,Male,FALSE
68,Doctorate,16,Married,White,Male,TRUE
49,HS-grad,9,Married,White,Female,TRUE
36,HS-grad,9,Married,White,Male,FALSE
70,Bachelors,13,Married,White,Male,TRUE
27,Some-college,10,Married,Black,Female,FALSE
35,Some-college,10,Married,White,Male,FALSE
23,HS-grad,9,Married,White,Male,FALSE
81,HS-grad,9,Married,White,Male,TRUE
66,Doctorate,16,Married,White,Male,TRUE
71,HS-grad,9,Married,White,Male,TRUE
68,Some-college,10,Married,White,Male,TRUE
68,Masters,14,Married,White,Male,TRUE
65,Bachelors,13,Married,White,Male,TRUE
52,HS-grad,9,Married,Black,Male,FALSE
40,Assoc-acdm,12,Married,White,Male,FALSE
68,Bachelors,13,Married,White,Male,TRUE
21,Some-college,10,Married,White,Male,FALSE
35,HS-grad,9,Married,White,Male,FALSE
70,Bachelors,13,Married,White,Male,TRUE
61,HS-grad,9,Married,White,Male,FALSE
65,HS-grad,9,Married,White,Male,FALSE
46,5th-6th,3,Divorced,White,Female,FALSE
26,Bachelors,13,Never-married,White,Male,FALSE
59,HS-grad,9,Widowed,White,Male,FALSE
61,5th-6th,3,Never-married,Black,Male,FALSE
60,Bachelors,13,Divorced,White,Female,FALSE
49,Some-college,10,Divorced,White,Male,FALSE
34,Bachelors,13,Married,Other,Male,FALSE
25,Bachelors,13,Never-married,White,Female,FALSE
55,Some-college,10,Never-married,Black,Female,FALSE
59,HS-grad,9,Separated,Black,Female,FALSE
28,Some-college,10,Separated,White,Male,FALSE
43,Assoc-voc,11,Widowed,White,Female,FALSE
56,Masters,14,Divorced,White,Female,FALSE
41,HS-grad,9,Divorced,White,Male,FALSE
42,HS-grad,9,Never-married,Black,Female,FALSE
28,Prof-school,15,Never-married,White,Male,FALSE
40,Prof-school,15,Divorced,White,Female,FALSE
69,Bachelors,13,Widowed,White,Male,TRUE
66,HS-grad,9,Married,White,Male,FALSE
69,5th-6th,3,Married,White,Male,FALSE
55,Masters,14,Married,White,Female,FALSE
57,HS-grad,9,Never-married,White,Male,FALSE
